Year,Year ending,Police Region,LocalGovernmentArea,Offence Count,"Rate per 100,000 population"
2020,March,Unincorporated Vic,Total,156,
2019,March,1 North West Metro,Banyule,"9,208","7,050.20"
2019,March,1 North West Metro,Brimbank,"19,194","9,282.70"
2019,March,1 North West Metro,Darebin,"14,848","9,439.40"
2019,March,1 North West Metro,Hobsons Bay,"6,315","6,590.60"
2019,March,1 North West Metro,Hume,"21,174","8,996.00"
2019,March,1 North West Metro,Maribyrnong,"8,188","9,152.70"
2019,March,1 North West Metro,Melbourne,"35,624","21,085.30"
2019,March,1 North West Metro,Melton,"11,061","6,682.00"
2019,March,1 North West Metro,Merri-bek,"14,597","8,139.90"
2019,March,1 North West Metro,Moonee Valley,"8,090","6,400.00"
2019,March,1 North West Metro,Nillumbik,"2,088","3,239.00"
2019,March,1 North West Metro,Whittlesea,"16,046","7,097.70"
2019,March,1 North West Metro,Wyndham,"14,958","5,475.10"
2019,March,1 North West Metro,Yarra,"13,452","13,933.50"
2019,March,1 North West Metro,Total,"194,843","8,793.20"
2019,March,2 Eastern,Alpine,573,"4,440.50"
2019,March,2 Eastern,BassCoast,"2,385","6,370.20"
2019,March,2 Eastern,Baw Baw,"4,498","8,322.40"
2019,March,2 Eastern,Benalla,"1,201","8,435.80"
2019,March,2 Eastern,Boroondara,"7,233","4,025.90"
2019,March,2 Eastern,East Gippsland,"4,563","9,613.60"
2019,March,2 Eastern,Greater Shepparton,"8,937","13,194.50"
2019,March,2 Eastern,Indigo,506,"2,998.30"
2019,March,2 Eastern,Knox,"11,036","6,757.80"
2019,March,2 Eastern,Latrobe,"14,614","19,198.40"
2019,March,2 Eastern,Manningham,"4,546","3,583.10"
2019,March,2 Eastern,Mansfield,441,"4,683.00"
2019,March,2 Eastern,Maroondah,"8,315","7,048.70"
2019,March,2 Eastern,Mitchell,"4,446","9,587.50"
2019,March,2 Eastern,Moira,"2,188","7,269.30"
2019,March,2 Eastern,Monash,"10,366","5,189.20"
2019,March,2 Eastern,Murrindindi,759,"5,150.30"
2019,March,2 Eastern,South Gippsland,"1,442","4,819.00"
2019,March,2 Eastern,Strathbogie,603,"5,528.60"
2019,March,2 Eastern,Towong,206,"3,354.00"
2019,March,2 Eastern,Wangaratta,"2,277","7,734.60"
2019,March,2 Eastern,Wellington,"4,139","9,264.50"
2019,March,2 Eastern,Whitehorse,"8,458","4,809.50"
2019,March,2 Eastern,Wodonga,"3,171","7,534.90"
2019,March,2 Eastern,Yarra Ranges,"8,258","5,202.10"
2019,March,2 Eastern,Total,"115,161","6,723.60"
2019,March,3 Southern Metro,Bayside,"4,593","4,369.00"
2019,March,3 Southern Metro,Cardinia,"6,165","5,504.40"
2019,March,3 Southern Metro,Casey,"21,584","6,131.70"
2019,March,3 Southern Metro,Frankston,"14,787","10,415.60"
2019,March,3 Southern Metro,Glen Eira,"6,336","4,116.00"
2019,March,3 Southern Metro,Greater Dandenong,"17,978","10,810.80"
2019,March,3 Southern Metro,Kingston,"11,292","6,920.10"
2019,March,3 Southern Metro,Mornington Peninsula,"10,875","6,450.40"
2019,March,3 Southern Metro,Port Phillip,"12,776","11,429.40"
2019,March,3 Southern Metro,Stonnington,"10,501","9,227.60"
2019,March,3 Southern Metro,Total,"116,887","7,357.40"
2019,March,4 Western,Ararat,"1,391","11,750.30"
2019,March,4 Western,Ballarat,"10,867","9,899.50"
2019,March,4 Western,Buloke,265,"4,297.80"
2019,March,4 Western,Campaspe,"4,021","10,546.10"
2019,March,4 Western,Central Goldfields,"1,260","9,438.90"
2019,March,4 Western,Colac-Otway,"1,647","7,473.80"
2019,March,4 Western,Corangamite,654,"4,044.30"
2019,March,4 Western,Gannawarra,786,"7,441.80"
2019,March,4 Western,Glenelg,"1,243","6,217.50"
2019,March,4 Western,Golden Plains,667,"2,801.30"
2019,March,4 Western,Greater Bendigo,"11,018","9,320.40"
2019,March,4 Western,Greater Geelong,"20,629","7,930.10"
2019,March,4 Western,Hepburn,754,"4,681.80"
2019,March,4 Western,Hindmarsh,344,"6,069.20"
2019,March,4 Western,Horsham,"2,854","14,128.70"
2019,March,4 Western,Loddon,492,"6,449.10"
2019,March,4 Western,Macedon Ranges,"2,470","4,924.00"
2019,March,4 Western,Mildura,"7,362","12,969.50"
2019,March,4 Western,Moorabool,"2,289","6,395.10"
2019,March,4 Western,Mount Alexander,959,"4,869.00"
2019,March,4 Western,Moyne,586,"3,447.70"
2019,March,4 Western,Northern Grampians,983,"8,396.70"
2019,March,4 Western,Pyrenees,632,"8,484.40"
2019,March,4 Western,Queenscliffe,321,"10,797.20"
2019,March,4 Western,Southern Grampians,"1,568","9,573.80"
2019,March,4 Western,Surf Coast,"1,200","3,507.40"
2019,March,4 Western,Swan Hill,"2,628","12,276.40"
2019,March,4 Western,Warrnambool,"4,038","11,503.00"
2019,March,4 Western,West Wimmera,160,"4,021.10"
2019,March,4 Western,Yarriambiack,422,"6,322.10"
2019,March,4 Western,Total,"84,510","8,292.80"
2019,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"2,923",
2019,March,Justice Institutions and Immigration Facilities,Total,"2,923",
2019,March,Unincorporated Vic,Unincorporated Vic,148,
2019,March,Unincorporated Vic,Total,148,
2018,March,1 North West Metro,Banyule,"9,558","7,372.40"
2018,March,1 North West Metro,Brimbank,"17,625","8,515.40"
2018,March,1 North West Metro,Darebin,"14,760","9,395.10"
2018,March,1 North West Metro,Hobsons Bay,"6,012","6,318.40"
2018,March,1 North West Metro,Hume,"20,496","9,088.10"
2018,March,1 North West Metro,Maribyrnong,"8,093","9,106.50"
2018,March,1 North West Metro,Melbourne,"36,656","22,438.40"
2018,March,1 North West Metro,Melton,"10,442","6,650.20"
2018,March,1 North West Metro,Merri-bek,"13,351","7,514.10"
2018,March,1 North West Metro,Moonee Valley,"8,759","6,980.00"
2018,March,1 North West Metro,Nillumbik,"2,268","3,514.00"
2018,March,1 North West Metro,Whittlesea,"15,357","6,961.40"
2018,March,1 North West Metro,Wyndham,"14,187","5,520.00"
2018,March,1 North West Metro,Yarra,"13,418","14,049.70"
2018,March,1 North West Metro,Total,"190,982","8,823.50"
2018,March,2 Eastern,Alpine,483,"3,767.00"
2018,March,2 Eastern,BassCoast,"2,412","6,684.60"
2018,March,2 Eastern,Baw Baw,"3,977","7,582.90"
2018,March,2 Eastern,Benalla,"1,333","9,415.20"
2018,March,2 Eastern,Boroondara,"7,080","3,946.80"
2018,March,2 Eastern,East Gippsland,"4,130","8,809.50"
2018,March,2 Eastern,Greater Shepparton,"8,126","12,159.90"
2018,March,2 Eastern,Indigo,448,"2,696.70"
2018,March,2 Eastern,Knox,"11,414","7,025.80"
2018,March,2 Eastern,Latrobe,"13,377","17,697.70"
2018,March,2 Eastern,Manningham,"4,730","3,781.20"
2018,March,2 Eastern,Mansfield,645,"7,046.90"
2018,March,2 Eastern,Maroondah,"7,870","6,719.30"
2018,March,2 Eastern,Mitchell,"4,408","9,893.20"
2018,March,2 Eastern,Moira,"2,019","6,750.30"
2018,March,2 Eastern,Monash,"11,029","5,569.90"
2018,March,2 Eastern,Murrindindi,692,"4,752.40"
2018,March,2 Eastern,South Gippsland,"1,426","4,816.90"
2018,March,2 Eastern,Strathbogie,558,"5,198.40"
2018,March,2 Eastern,Towong,214,"3,508.20"
2018,March,2 Eastern,Wangaratta,"2,369","8,093.90"
2018,March,2 Eastern,Wellington,"3,543","8,009.90"
2018,March,2 Eastern,Whitehorse,"8,162","4,679.20"
2018,March,2 Eastern,Wodonga,"3,320","7,992.10"
2018,March,2 Eastern,Yarra Ranges,"7,934","5,027.30"
2018,March,2 Eastern,Total,"111,699","6,588.40"
2018,March,3 Southern Metro,Bayside,"4,796","4,584.10"
2018,March,3 Southern Metro,Cardinia,"5,735","5,362.60"
2018,March,3 Southern Metro,Casey,"19,982","5,910.30"
2018,March,3 Southern Metro,Frankston,"14,308","10,109.40"
2018,March,3 Southern Metro,Glen Eira,"6,775","4,445.90"
2018,March,3 Southern Metro,Greater Dandenong,"18,326","11,113.70"
2018,March,3 Southern Metro,Kingston,"10,364","6,410.00"
2018,March,3 Southern Metro,Mornington Peninsula,"11,023","6,617.90"
2018,March,3 Southern Metro,Port Phillip,"12,551","11,334.50"
2018,March,3 Southern Metro,Stonnington,"10,190","8,990.60"
2018,March,3 Southern Metro,Total,"114,050","7,307.20"
2018,March,4 Western,Ararat,"1,238","10,487.10"
2018,March,4 Western,Ballarat,"11,445","10,635.80"
2018,March,4 Western,Buloke,227,"3,653.00"
2018,March,4 Western,Campaspe,"3,472","9,149.40"
2018,March,4 Western,Central Goldfields,"1,516","11,372.80"
2018,March,4 Western,Colac-Otway,"1,533","7,024.70"
2018,March,4 Western,Corangamite,883,"5,440.20"
2018,March,4 Western,Gannawarra,568,"5,358.00"
2018,March,4 Western,Glenelg,"1,598","8,033.00"
2018,March,4 Western,Golden Plains,647,"2,789.90"
2018,March,4 Western,Greater Bendigo,"9,645","8,301.30"
2018,March,4 Western,Greater Geelong,"22,773","8,995.00"
2018,March,4 Western,Hepburn,869,"5,464.70"
2018,March,4 Western,Hindmarsh,346,"6,079.80"
2018,March,4 Western,Horsham,"2,464","12,280.70"
2018,March,4 Western,Loddon,371,"4,880.30"
2018,March,4 Western,Macedon Ranges,"2,094","4,247.30"
2018,March,4 Western,Mildura,"6,401","11,399.00"
2018,March,4 Western,Moorabool,"2,254","6,502.80"
2018,March,4 Western,Mount Alexander,950,"4,871.80"
2018,March,4 Western,Moyne,611,"3,616.00"
2018,March,4 Western,Northern Grampians,"1,043","8,965.10"
2018,March,4 Western,Pyrenees,418,"5,704.90"
2018,March,4 Western,Queenscliffe,115,"3,893.00"
2018,March,4 Western,Southern Grampians,"1,336","8,200.80"
2018,March,4 Western,Surf Coast,"1,142","3,487.00"
2018,March,4 Western,Swan Hill,"2,466","11,610.20"
2018,March,4 Western,Warrnambool,"3,555","10,208.80"
2018,March,4 Western,West Wimmera,161,"4,061.60"
2018,March,4 Western,Yarriambiack,538,"8,032.20"
2018,March,4 Western,Total,"82,679","8,255.80"
2018,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"2,527",
2018,March,Justice Institutions and Immigration Facilities,Total,"2,527",
2018,March,Unincorporated Vic,Unincorporated Vic,132,
2018,March,Unincorporated Vic,Total,132,
2017,March,1 North West Metro,Banyule,"9,703","7,541.60"
2017,March,1 North West Metro,Brimbank,"18,514","8,982.30"
2017,March,1 North West Metro,Darebin,"16,746","10,698.60"
2017,March,1 North West Metro,Hobsons Bay,"6,418","6,788.40"
2017,March,1 North West Metro,Hume,"22,304","10,314.00"
2017,March,1 North West Metro,Maribyrnong,"9,186","10,424.40"
2017,March,1 North West Metro,Melbourne,"37,316","23,927.30"
2017,March,1 North West Metro,Melton,"11,625","7,817.20"
2017,March,1 North West Metro,Merri-bek,"14,384","8,214.30"
2017,March,1 North West Metro,Moonee Valley,"9,770","7,858.70"
2017,March,1 North West Metro,Nillumbik,"2,883","4,475.70"
2017,March,1 North West Metro,Whittlesea,"16,421","7,658.10"
2017,March,1 North West Metro,Wyndham,"14,827","6,137.70"
2017,March,1 North West Metro,Yarra,"13,759","14,559.30"
2017,March,1 North West Metro,Total,"203,856","9,665.00"
2017,March,2 Eastern,Alpine,396,"3,121.30"
2017,March,2 Eastern,BassCoast,"2,613","7,519.90"
2017,March,2 Eastern,Baw Baw,"4,019","7,898.50"
2017,March,2 Eastern,Benalla,"1,354","9,637.70"
2017,March,2 Eastern,Boroondara,"8,428","4,717.60"
2017,March,2 Eastern,East Gippsland,"3,926","8,494.30"
2017,March,2 Eastern,Greater Shepparton,"8,425","12,773.90"
2017,March,2 Eastern,Indigo,441,"2,690.70"
2017,March,2 Eastern,Knox,"12,285","7,605.60"
2017,March,2 Eastern,Latrobe,"14,399","19,176.20"
2017,March,2 Eastern,Manningham,"5,226","4,210.20"
2017,March,2 Eastern,Mansfield,610,"6,856.20"
2017,March,2 Eastern,Maroondah,"9,333","8,030.30"
2017,March,2 Eastern,Mitchell,"4,617","10,726.00"
2017,March,2 Eastern,Moira,"1,986","6,683.00"
2017,March,2 Eastern,Monash,"11,517","5,886.10"
2017,March,2 Eastern,Murrindindi,688,"4,814.60"
2017,March,2 Eastern,South Gippsland,"1,530","5,211.00"
2017,March,2 Eastern,Strathbogie,669,"6,352.10"
2017,March,2 Eastern,Towong,216,"3,562.00"
2017,March,2 Eastern,Wangaratta,"2,554","8,821.80"
2017,March,2 Eastern,Wellington,"4,597","10,478.20"
2017,March,2 Eastern,Whitehorse,"8,308","4,819.70"
2017,March,2 Eastern,Wodonga,"3,297","8,073.60"
2017,March,2 Eastern,Yarra Ranges,"8,860","5,654.30"
2017,March,2 Eastern,Total,"120,294","7,173.80"
2017,March,3 Southern Metro,Bayside,"5,315","5,127.10"
2017,March,3 Southern Metro,Cardinia,"6,844","6,692.90"
2017,March,3 Southern Metro,Casey,"24,490","7,536.60"
2017,March,3 Southern Metro,Frankston,"16,647","11,839.90"
2017,March,3 Southern Metro,Glen Eira,"7,627","5,061.00"
2017,March,3 Southern Metro,Greater Dandenong,"20,312","12,467.20"
2017,March,3 Southern Metro,Kingston,"11,667","7,285.50"
2017,March,3 Southern Metro,Mornington Peninsula,"11,745","7,153.40"
2017,March,3 Southern Metro,Port Phillip,"13,425","12,257.70"
2017,March,3 Southern Metro,Stonnington,"11,484","10,241.30"
2017,March,3 Southern Metro,Total,"129,556","8,461.70"
2017,March,4 Western,Ararat,"1,249","10,588.30"
2017,March,4 Western,Ballarat,"11,884","11,259.00"
2017,March,4 Western,Buloke,185,"2,973.80"
2017,March,4 Western,Campaspe,"3,665","9,696.00"
2017,March,4 Western,Central Goldfields,"1,374","10,409.10"
2017,March,4 Western,Colac-Otway,"2,179","10,090.30"
2017,March,4 Western,Corangamite,"1,053","6,468.50"
2017,March,4 Western,Gannawarra,655,"6,178.10"
2017,March,4 Western,Glenelg,"1,697","8,569.80"
2017,March,4 Western,Golden Plains,818,"3,617.40"
2017,March,4 Western,Greater Bendigo,"10,669","9,337.10"
2017,March,4 Western,Greater Geelong,"22,492","9,128.80"
2017,March,4 Western,Hepburn,891,"5,672.30"
2017,March,4 Western,Hindmarsh,412,"7,192.70"
2017,March,4 Western,Horsham,"2,606","13,045.00"
2017,March,4 Western,Loddon,487,"6,434.10"
2017,March,4 Western,Macedon Ranges,"2,309","4,769.20"
2017,March,4 Western,Mildura,"6,736","12,151.60"
2017,March,4 Western,Moorabool,"2,484","7,373.30"
2017,March,4 Western,Mount Alexander,"1,169","6,057.90"
2017,March,4 Western,Moyne,620,"3,695.10"
2017,March,4 Western,Northern Grampians,"1,301","11,224.20"
2017,March,4 Western,Pyrenees,554,"7,563.10"
2017,March,4 Western,Queenscliffe,152,"5,200.10"
2017,March,4 Western,Southern Grampians,"1,379","8,508.70"
2017,March,4 Western,Surf Coast,"1,286","4,075.40"
2017,March,4 Western,Swan Hill,"2,245","10,655.50"
2017,March,4 Western,Warrnambool,"3,329","9,643.70"
2017,March,4 Western,West Wimmera,208,"5,263.20"
2017,March,4 Western,Yarriambiack,429,"6,395.30"
2017,March,4 Western,Total,"86,517","8,787.40"
2017,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"1,760",
2017,March,Justice Institutions and Immigration Facilities,Total,"1,760",
2017,March,Unincorporated Vic,Unincorporated Vic,142,
2017,March,Unincorporated Vic,Total,142,
2016,March,1 North West Metro,Banyule,"9,921","7,784.40"
2016,March,1 North West Metro,Brimbank,"19,311","9,457.40"
2016,March,1 North West Metro,Darebin,"15,915","10,259.40"
2016,March,1 North West Metro,Hobsons Bay,"7,127","7,626.90"
2016,March,1 North West Metro,Hume,"21,762","10,511.00"
2016,March,1 North West Metro,Maribyrnong,"9,034","10,390.80"
2016,March,1 North West Metro,Melbourne,"35,448","24,263.50"
2016,March,1 North West Metro,Melton,"11,810","8,351.00"
2016,March,1 North West Metro,Merri-bek,"14,085","8,175.00"
2016,March,1 North West Metro,Moonee Valley,"9,408","7,656.80"
2016,March,1 North West Metro,Nillumbik,"3,378","5,263.80"
2016,March,1 North West Metro,Whittlesea,"14,616","7,058.90"
2016,March,1 North West Metro,Wyndham,"15,215","6,702.40"
2016,March,1 North West Metro,Yarra,"13,363","14,385.20"
2016,March,1 North West Metro,Total,"200,393","9,784.80"
2016,March,2 Eastern,Alpine,438,"3,482.30"
2016,March,2 Eastern,BassCoast,"2,967","8,866.20"
2016,March,2 Eastern,Baw Baw,"3,965","8,043.20"
2016,March,2 Eastern,Benalla,"1,463","10,463.50"
2016,March,2 Eastern,Boroondara,"7,807","4,403.90"
2016,March,2 Eastern,East Gippsland,"4,402","9,653.50"
2016,March,2 Eastern,Greater Shepparton,"7,813","12,006.70"
2016,March,2 Eastern,Indigo,488,"3,018.90"
2016,March,2 Eastern,Knox,"10,302","6,424.60"
2016,March,2 Eastern,Latrobe,"13,518","18,115.30"
2016,March,2 Eastern,Manningham,"4,457","3,636.30"
2016,March,2 Eastern,Mansfield,513,"5,914.20"
2016,March,2 Eastern,Maroondah,"8,169","7,115.90"
2016,March,2 Eastern,Mitchell,"4,460","10,671.10"
2016,March,2 Eastern,Moira,"1,587","5,382.20"
2016,March,2 Eastern,Monash,"11,868","6,161.20"
2016,March,2 Eastern,Murrindindi,732,"5,209.20"
2016,March,2 Eastern,South Gippsland,"1,306","4,484.60"
2016,March,2 Eastern,Strathbogie,561,"5,416.60"
2016,March,2 Eastern,Towong,232,"3,837.20"
2016,March,2 Eastern,Wangaratta,"2,623","9,173.90"
2016,March,2 Eastern,Wellington,"4,608","10,585.80"
2016,March,2 Eastern,Whitehorse,"8,374","4,936.30"
2016,March,2 Eastern,Wodonga,"3,499","8,725.70"
2016,March,2 Eastern,Yarra Ranges,"8,233","5,303.90"
2016,March,2 Eastern,Total,"114,385","6,911.40"
2016,March,3 Southern Metro,Bayside,"4,828","4,691.40"
2016,March,3 Southern Metro,Cardinia,"7,730","7,922.30"
2016,March,3 Southern Metro,Casey,"21,935","7,012.70"
2016,March,3 Southern Metro,Frankston,"15,284","10,956.10"
2016,March,3 Southern Metro,Glen Eira,"6,651","4,476.30"
2016,March,3 Southern Metro,Greater Dandenong,"20,530","12,813.50"
2016,March,3 Southern Metro,Kingston,"11,612","7,305.90"
2016,March,3 Southern Metro,Mornington Peninsula,"11,427","7,074.30"
2016,March,3 Southern Metro,Port Phillip,"12,732","11,720.80"
2016,March,3 Southern Metro,Stonnington,"10,204","9,192.50"
2016,March,3 Southern Metro,Total,"122,933","8,186.40"
2016,March,4 Western,Ararat,"1,228","10,455.50"
2016,March,4 Western,Ballarat,"11,721","11,324.60"
2016,March,4 Western,Buloke,239,"3,803.30"
2016,March,4 Western,Campaspe,"3,384","9,001.20"
2016,March,4 Western,Central Goldfields,"1,411","10,781.70"
2016,March,4 Western,Colac-Otway,"1,754","8,210.80"
2016,March,4 Western,Corangamite,756,"4,654.30"
2016,March,4 Western,Gannawarra,560,"5,299.50"
2016,March,4 Western,Glenelg,"1,549","7,839.50"
2016,March,4 Western,Golden Plains,749,"3,402.10"
2016,March,4 Western,Greater Bendigo,"9,152","8,152.00"
2016,March,4 Western,Greater Geelong,"22,044","9,203.10"
2016,March,4 Western,Hepburn,879,"5,661.80"
2016,March,4 Western,Hindmarsh,265,"4,581.60"
2016,March,4 Western,Horsham,"3,112","15,650.80"
2016,March,4 Western,Loddon,424,"5,609.90"
2016,March,4 Western,Macedon Ranges,"2,328","4,903.10"
2016,March,4 Western,Mildura,"6,214","11,368.90"
2016,March,4 Western,Moorabool,"2,297","7,030.50"
2016,March,4 Western,Mount Alexander,"1,101","5,765.30"
2016,March,4 Western,Moyne,632,"3,776.10"
2016,March,4 Western,Northern Grampians,"1,152","9,956.80"
2016,March,4 Western,Pyrenees,590,"8,064.50"
2016,March,4 Western,Queenscliffe,168,"5,735.70"
2016,March,4 Western,Southern Grampians,"1,198","7,430.40"
2016,March,4 Western,Surf Coast,"1,594","5,232.20"
2016,March,4 Western,Swan Hill,"2,226","10,652.80"
2016,March,4 Western,Warrnambool,"2,953","8,623.90"
2016,March,4 Western,West Wimmera,180,"4,572.00"
2016,March,4 Western,Yarriambiack,485,"7,192.60"
2016,March,4 Western,Total,"82,345","8,510.50"
2016,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"1,496",
2016,March,Justice Institutions and Immigration Facilities,Total,"1,496",
2016,March,Unincorporated Vic,Unincorporated Vic,120,
2016,March,Unincorporated Vic,Total,120,
2015,March,1 North West Metro,Banyule,"8,769","6,954.70"
2015,March,1 North West Metro,Brimbank,"17,428","8,676.70"
2015,March,1 North West Metro,Darebin,"14,318","9,421.30"
2015,March,1 North West Metro,Hobsons Bay,"6,805","7,423.00"
2015,March,1 North West Metro,Hume,"18,135","9,151.00"
2015,March,1 North West Metro,Maribyrnong,"7,921","9,342.70"
2015,March,1 North West Metro,Melbourne,"33,708","24,627.40"
2015,March,1 North West Metro,Melton,"9,900","7,338.00"
2015,March,1 North West Metro,Merri-bek,"12,846","7,652.40"
2015,March,1 North West Metro,Moonee Valley,"8,881","7,386.60"
2015,March,1 North West Metro,Nillumbik,"2,155","3,384.40"
2015,March,1 North West Metro,Whittlesea,"13,269","6,740.80"
2015,March,1 North West Metro,Wyndham,"12,808","5,990.20"
2015,March,1 North West Metro,Yarra,"12,836","14,274.40"
2015,March,1 North West Metro,Total,"179,779","9,090.30"
2015,March,2 Eastern,Alpine,526,"4,232.00"
2015,March,2 Eastern,BassCoast,"2,607","8,002.80"
2015,March,2 Eastern,Baw Baw,"3,510","7,337.40"
2015,March,2 Eastern,Benalla,"1,133","8,137.60"
2015,March,2 Eastern,Boroondara,"6,649","3,804.80"
2015,March,2 Eastern,East Gippsland,"3,976","8,861.50"
2015,March,2 Eastern,Greater Shepparton,"7,343","11,386.40"
2015,March,2 Eastern,Indigo,436,"2,738.30"
2015,March,2 Eastern,Knox,"9,578","6,035.30"
2015,March,2 Eastern,Latrobe,"12,395","16,690.00"
2015,March,2 Eastern,Manningham,"4,015","3,324.10"
2015,March,2 Eastern,Mansfield,459,"5,381.00"
2015,March,2 Eastern,Maroondah,"7,608","6,731.40"
2015,March,2 Eastern,Mitchell,"3,379","8,392.10"
2015,March,2 Eastern,Moira,"1,464","4,998.60"
2015,March,2 Eastern,Monash,"9,031","4,773.90"
2015,March,2 Eastern,Murrindindi,614,"4,433.90"
2015,March,2 Eastern,South Gippsland,"1,279","4,443.90"
2015,March,2 Eastern,Strathbogie,481,"4,727.30"
2015,March,2 Eastern,Towong,183,"3,047.50"
2015,March,2 Eastern,Wangaratta,"2,378","8,449.70"
2015,March,2 Eastern,Wellington,"3,984","9,228.20"
2015,March,2 Eastern,Whitehorse,"7,437","4,461.90"
2015,March,2 Eastern,Wodonga,"3,226","8,224.80"
2015,March,2 Eastern,Yarra Ranges,"7,114","4,637.80"
2015,March,2 Eastern,Total,"100,805","6,183.40"
2015,March,3 Southern Metro,Bayside,"4,315","4,261.00"
2015,March,3 Southern Metro,Cardinia,"5,705","6,181.10"
2015,March,3 Southern Metro,Casey,"18,373","6,134.00"
2015,March,3 Southern Metro,Frankston,"14,402","10,452.10"
2015,March,3 Southern Metro,Glen Eira,"5,599","3,836.90"
2015,March,3 Southern Metro,Greater Dandenong,"16,071","10,297.90"
2015,March,3 Southern Metro,Kingston,"9,510","6,086.60"
2015,March,3 Southern Metro,Mornington Peninsula,"10,231","6,441.40"
2015,March,3 Southern Metro,Port Phillip,"11,914","11,199.40"
2015,March,3 Southern Metro,Stonnington,"9,958","9,218.00"
2015,March,3 Southern Metro,Total,"106,078","7,253.90"
2015,March,4 Western,Ararat,"1,102","9,464.10"
2015,March,4 Western,Ballarat,"10,290","10,140.00"
2015,March,4 Western,Buloke,232,"3,679.00"
2015,March,4 Western,Campaspe,"2,928","7,822.80"
2015,March,4 Western,Central Goldfields,"1,091","8,424.70"
2015,March,4 Western,Colac-Otway,"1,382","6,509.70"
2015,March,4 Western,Corangamite,613,"3,766.70"
2015,March,4 Western,Gannawarra,544,"5,163.20"
2015,March,4 Western,Glenelg,"1,795","9,101.50"
2015,March,4 Western,Golden Plains,620,"2,898.80"
2015,March,4 Western,Greater Bendigo,"8,514","7,746.50"
2015,March,4 Western,Greater Geelong,"18,737","8,044.20"
2015,March,4 Western,Hepburn,630,"4,108.50"
2015,March,4 Western,Hindmarsh,222,"3,822.30"
2015,March,4 Western,Horsham,"2,575","13,010.30"
2015,March,4 Western,Loddon,325,"4,315.50"
2015,March,4 Western,Macedon Ranges,"2,061","4,444.40"
2015,March,4 Western,Mildura,"5,863","10,826.10"
2015,March,4 Western,Moorabool,"1,970","6,205.10"
2015,March,4 Western,Mount Alexander,"1,006","5,352.80"
2015,March,4 Western,Moyne,637,"3,839.40"
2015,March,4 Western,Northern Grampians,"1,042","8,948.80"
2015,March,4 Western,Pyrenees,466,"6,491.20"
2015,March,4 Western,Queenscliffe,119,"4,057.30"
2015,March,4 Western,Southern Grampians,935,"5,785.20"
2015,March,4 Western,Surf Coast,"1,306","4,408.40"
2015,March,4 Western,Swan Hill,"2,214","10,596.90"
2015,March,4 Western,Warrnambool,"2,977","8,754.60"
2015,March,4 Western,West Wimmera,140,"3,522.90"
2015,March,4 Western,Yarriambiack,394,"5,772.00"
2015,March,4 Western,Total,"72,730","7,646.50"
2015,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"1,091",
2015,March,Justice Institutions and Immigration Facilities,Total,"1,091",
2015,March,Unincorporated Vic,Unincorporated Vic,114,
2015,March,Unincorporated Vic,Total,114,
