LGA,Postcode
Maribyrnong,3011
Maribyrnong,3012
Maribyrnong,3013
Maribyrnong,3015
Maribyrnong,3019
Maribyrnong,3020
Maribyrnong,3031
Maribyrnong,3032
Maribyrnong,3034
Maribyrnong,3039
Maribyrnong,3040
Maroondah,3111
Maroondah,3114
Maroondah,3115
Maroondah,3116
Maroondah,3132
Maroondah,3133
Maroondah,3134
Maroondah,3135
Maroondah,3136
Maroondah,3137
Maroondah,3138
Maroondah,3152
Maroondah,3153
Maroondah,3155
Melbourne,3000
Melbourne,3002
Melbourne,3003
Melbourne,3004
Melbourne,3005
Melbourne,3006
Melbourne,3008
Melbourne,3010
Melbourne,3011
Melbourne,3013
Melbourne,3015
Melbourne,3031
Melbourne,3032
Melbourne,3051
Melbourne,3052
Melbourne,3053
Melbourne,3054
Melbourne,3055
Melbourne,3056
Melbourne,3065
Melbourne,3066
Melbourne,3068
Melbourne,3121
Melbourne,3141
Melbourne,3181
Melbourne,3205
Melbourne,3206
Melbourne,3207
Melton,3021
Melton,3023
Melton,3024
Melton,3029
Melton,3030
Melton,3037
Melton,3335
Melton,3337
Melton,3338
Melton,3340
Melton,3427
Melton,3429
Melton,3437
Mildura,2648
Mildura,2717
Mildura,2737
Mildura,2738
Mildura,2739
Mildura,3420
Mildura,3490
Mildura,3491
Mildura,3494
Mildura,3496
Mildura,3498
Mildura,3500
Mildura,3501
Mildura,3505
Mildura,3507
Mildura,3509
Mildura,3512
Mildura,3533
Mildura,3546
Mildura,3549
Mildura,5267
Mildura,5302
Mildura,5303
Mildura,5311
Mildura,5340
Mildura,5440
Mitchell,3064
Mitchell,3430
Mitchell,3435
Mitchell,3444
Mitchell,3521
Mitchell,3522
Mitchell,3523
Mitchell,3608
Mitchell,3658
Mitchell,3659
Mitchell,3660
Mitchell,3662
Mitchell,3663
Mitchell,3664
Mitchell,3666
Mitchell,3717
Mitchell,3751
Mitchell,3753
Mitchell,3756
Mitchell,3757
Mitchell,3758
Mitchell,3764
Moira,2646
Moira,2647
Moira,2710
Moira,2712
Moira,2714
Moira,2731
Moira,3564
Moira,3620
Moira,3629
Moira,3634
Moira,3635
Moira,3636
Moira,3637
Moira,3638
Moira,3639
Moira,3640
Moira,3641
Moira,3644
Moira,3646
Moira,3649
Moira,3678
Moira,3682
Moira,3726
Moira,3727
Moira,3728
Moira,3730
Monash,3125
Monash,3133
Monash,3145
Monash,3146
Monash,3147
Monash,3148
Monash,3149
Monash,3150
Monash,3151
Monash,3152
Monash,3163
Monash,3165
Monash,3166
Monash,3167
Monash,3168
Monash,3169
Monash,3170
Monash,3171
Monash,3174
Monash,3175
Monash,3178
Monash,3179
Monash,3800
Moonee Valley,3011
Moonee Valley,3012
Moonee Valley,3019
Moonee Valley,3020
Moonee Valley,3031
Moonee Valley,3032
Moonee Valley,3033
Moonee Valley,3034
Moonee Valley,3039
Moonee Valley,3040
Moonee Valley,3041
Moonee Valley,3042
Moonee Valley,3043
Moonee Valley,3044
Moonee Valley,3046
Moonee Valley,3051
Moonee Valley,3052
Moonee Valley,3055
Moorabool,3024
Moorabool,3331
Moorabool,3333
Moorabool,3334
Moorabool,3337
Moorabool,3338
Moorabool,3340
Moorabool,3341
Moorabool,3342
Moorabool,3345
Moorabool,3350
Moorabool,3352
Moorabool,3357
Moorabool,3363
Moorabool,3364
Moorabool,3437
Moorabool,3442
Moorabool,3458
Moorabool,3461
Merri-bek,3032
Merri-bek,3039
Merri-bek,3040
Merri-bek,3041
Merri-bek,3042
Merri-bek,3043
Merri-bek,3044
Merri-bek,3046
Merri-bek,3047
Merri-bek,3052
Merri-bek,3054
Merri-bek,3055
Merri-bek,3056
Merri-bek,3057
Merri-bek,3058
Merri-bek,3060
Merri-bek,3061
Merri-bek,3068
Merri-bek,3070
Merri-bek,3071
Merri-bek,3072
Merri-bek,3073
Merri-bek,3074
Mornington Peninsula,3199
Mornington Peninsula,3911
Mornington Peninsula,3912
Mornington Peninsula,3913
Mornington Peninsula,3915
Mornington Peninsula,3916
Mornington Peninsula,3918
Mornington Peninsula,3919
Mornington Peninsula,3920
Mornington Peninsula,3926
Mornington Peninsula,3927
Mornington Peninsula,3928
Mornington Peninsula,3929
Mornington Peninsula,3930
Mornington Peninsula,3931
Mornington Peninsula,3933
Mornington Peninsula,3934
Mornington Peninsula,3936
Mornington Peninsula,3937
Mornington Peninsula,3938
Mornington Peninsula,3939
Mornington Peninsula,3940
Mornington Peninsula,3941
Mornington Peninsula,3942
Mornington Peninsula,3943
Mornington Peninsula,3944
Mount Alexander,3364
Mount Alexander,3444
Mount Alexander,3447
Mount Alexander,3448
Mount Alexander,3450
Mount Alexander,3451
Mount Alexander,3453
Mount Alexander,3461
Mount Alexander,3462
Mount Alexander,3463
Mount Alexander,3464
Mount Alexander,3472
Mount Alexander,3522
Mount Alexander,3551
Moyne,3260
Moyne,3264
Moyne,3265
Moyne,3266
Moyne,3268
Moyne,3269
Moyne,3270
Moyne,3272
Moyne,3273
Moyne,3274
Moyne,3275
Moyne,3276
Moyne,3277
Moyne,3278
Moyne,3280
Moyne,3281
Moyne,3282
Moyne,3283
Moyne,3284
Moyne,3285
Moyne,3286
Moyne,3287
Moyne,3289
Moyne,3293
Moyne,3301
Moyne,3303
Moyne,3304
Moyne,3325
Moyne,3351
Murrindindi,3099
Murrindindi,3658
Murrindindi,3659
Murrindindi,3660
Murrindindi,3666
Murrindindi,3711
Murrindindi,3712
Murrindindi,3713
Murrindindi,3714
Murrindindi,3715
Murrindindi,3717
Murrindindi,3719
Murrindindi,3720
Murrindindi,3723
Murrindindi,3757
Murrindindi,3763
Murrindindi,3775
Murrindindi,3777
Murrindindi,3778
Murrindindi,3779
Murrindindi,3799
Nillumbik,3082
Nillumbik,3083
Nillumbik,3087
Nillumbik,3088
Nillumbik,3089
Nillumbik,3090
Nillumbik,3091
Nillumbik,3093
Nillumbik,3094
Nillumbik,3095
Nillumbik,3096
Nillumbik,3097
Nillumbik,3099
Nillumbik,3106
Nillumbik,3113
Nillumbik,3115
Nillumbik,3116
Nillumbik,3752
Nillumbik,3754
Nillumbik,3755
Nillumbik,3757
Nillumbik,3759
Nillumbik,3760
Nillumbik,3761
Nillumbik,3763
Nillumbik,3770
Nillumbik,3775
Nillumbik,3777
Northern Grampians,3294
Northern Grampians,3314
Northern Grampians,3374
Northern Grampians,3375
Northern Grampians,3377
Northern Grampians,3379
Northern Grampians,3380
Northern Grampians,3381
Northern Grampians,3384
Northern Grampians,3385
Northern Grampians,3387
Northern Grampians,3388
Northern Grampians,3390
Northern Grampians,3392
Northern Grampians,3401
Northern Grampians,3469
Northern Grampians,3475
Northern Grampians,3477
Northern Grampians,3478
Northern Grampians,3480
Northern Grampians,3518
Northern Grampians,3525
Port Phillip,3004
Port Phillip,3006
Port Phillip,3141
Port Phillip,3143
Port Phillip,3161
Port Phillip,3181
Port Phillip,3182
Port Phillip,3183
Port Phillip,3184
Port Phillip,3185
Port Phillip,3186
Port Phillip,3205
Port Phillip,3206
Port Phillip,3207
Pyrenees,3325
Pyrenees,3351
Pyrenees,3352
Pyrenees,3360
Pyrenees,3361
Pyrenees,3371
Pyrenees,3373
Pyrenees,3375
Pyrenees,3378
Pyrenees,3384
Pyrenees,3465
Pyrenees,3467
Pyrenees,3468
Pyrenees,3469
Pyrenees,3475
Pyrenees,3477
Pyrenees,3478
Queenscliffe,3222
Queenscliffe,3225
Southern Grampians,3274
Southern Grampians,3286
Southern Grampians,3287
Southern Grampians,3289
Southern Grampians,3293
Southern Grampians,3294
Southern Grampians,3300
Southern Grampians,3301
Southern Grampians,3302
Southern Grampians,3303
Southern Grampians,3310
Southern Grampians,3311
Southern Grampians,3312
Southern Grampians,3314
Southern Grampians,3315
Southern Grampians,3317
Southern Grampians,3351
Southern Grampians,3379
Southern Grampians,3381
Southern Grampians,3401
Southern Grampians,3407
South Gippsland,3818
South Gippsland,3821
South Gippsland,3823
South Gippsland,3824
South Gippsland,3835
South Gippsland,3870
South Gippsland,3871
South Gippsland,3945
South Gippsland,3950
South Gippsland,3951
South Gippsland,3953
South Gippsland,3954
South Gippsland,3956
South Gippsland,3957
South Gippsland,3958
South Gippsland,3959
South Gippsland,3960
South Gippsland,3962
South Gippsland,3965
South Gippsland,3966
South Gippsland,3971
South Gippsland,3979
South Gippsland,3981
South Gippsland,3984
South Gippsland,3987
South Gippsland,3988
South Gippsland,3995
South Gippsland,3996
Stonnington,3004
Stonnington,3121
Stonnington,3122
Stonnington,3123
Stonnington,3141
Stonnington,3142
Stonnington,3143
Stonnington,3144
Stonnington,3145
Stonnington,3146
Stonnington,3147
Stonnington,3148
Stonnington,3161
Stonnington,3163
Stonnington,3166
Stonnington,3181
Stonnington,3182
Stonnington,3183
Strathbogie,3523
Strathbogie,3551
Strathbogie,3608
Strathbogie,3610
Strathbogie,3612
Strathbogie,3631
Strathbogie,3646
Strathbogie,3660
Strathbogie,3662
Strathbogie,3663
Strathbogie,3664
Strathbogie,3666
Strathbogie,3669
Strathbogie,3670
Strathbogie,3715
Strathbogie,3719
Strathbogie,3720
Strathbogie,3726
Surf Coast,3216
Surf Coast,3221
Surf Coast,3227
Surf Coast,3228
Surf Coast,3230
Surf Coast,3231
Surf Coast,3232
Surf Coast,3235
Surf Coast,3240
Surf Coast,3241
Surf Coast,3242
Surf Coast,3243
Surf Coast,3321
Swan Hill,2715
Swan Hill,2735
Swan Hill,2736
Swan Hill,2737
Swan Hill,3501
Swan Hill,3507
Swan Hill,3530
Swan Hill,3533
Swan Hill,3542
Swan Hill,3544
Swan Hill,3546
Swan Hill,3549
Swan Hill,3579
Swan Hill,3584
Swan Hill,3585
Swan Hill,3586
Swan Hill,3588
Swan Hill,3589
Swan Hill,3590
Swan Hill,3591
Swan Hill,3594
Swan Hill,3595
Swan Hill,3596
Swan Hill,3597
Towong,2640
Towong,2642
Towong,2644
Towong,2649
Towong,3691
Towong,3695
Towong,3697
Towong,3700
Towong,3701
Towong,3705
Towong,3707
Towong,3709
Towong,3885
Towong,3900
Wangaratta,3673
Wangaratta,3675
Wangaratta,3677
Wangaratta,3678
Wangaratta,3682
Wangaratta,3683
Wangaratta,3723
Wangaratta,3726
Wangaratta,3728
Wangaratta,3730
Wangaratta,3732
Wangaratta,3733
Wangaratta,3735
Wangaratta,3737
Wangaratta,3746
Wangaratta,3747
Wangaratta,3858
Warrnambool,3275
Warrnambool,3277
Warrnambool,3280
Warrnambool,3281
Warrnambool,3282
Wellington,3678
Wellington,3723
Wellington,3737
Wellington,3741
Wellington,3825
Wellington,3833
Wellington,3844
Wellington,3847
Wellington,3850
Wellington,3851
Wellington,3852
Wellington,3854
Wellington,3856
Wellington,3857
Wellington,3858
Wellington,3859
Wellington,3860
Wellington,3862
Wellington,3864
Wellington,3870
Wellington,3873
Wellington,3874
Wellington,3875
Wellington,3880
Wellington,3898
Wellington,3960
Wellington,3962
Wellington,3966
Wellington,3971
West Wimmera,3312
West Wimmera,3315
West Wimmera,3317
West Wimmera,3318
West Wimmera,3319
West Wimmera,3401
West Wimmera,3407
West Wimmera,3409
West Wimmera,3412
West Wimmera,3413
West Wimmera,3418
West Wimmera,3419
West Wimmera,3420
West Wimmera,3490
West Wimmera,5262
West Wimmera,5263
West Wimmera,5267
West Wimmera,5268
West Wimmera,5269
West Wimmera,5271
West Wimmera,5277
Whitehorse,3103
Whitehorse,3104
Whitehorse,3108
Whitehorse,3109
Whitehorse,3111
Whitehorse,3124
Whitehorse,3125
Whitehorse,3127
Whitehorse,3128
Whitehorse,3129
Whitehorse,3130
Whitehorse,3131
Whitehorse,3132
Whitehorse,3133
Whitehorse,3134
Whitehorse,3146
Whitehorse,3149
Whitehorse,3150
Whitehorse,3151
Whitehorse,3152
Whittlesea,3061
Whittlesea,3062
Whittlesea,3064
Whittlesea,3073
Whittlesea,3074
Whittlesea,3075
Whittlesea,3076
Whittlesea,3082
Whittlesea,3083
Whittlesea,3088
Whittlesea,3090
Whittlesea,3091
Whittlesea,3099
Whittlesea,3658
Whittlesea,3750
Whittlesea,3751
Whittlesea,3752
Whittlesea,3753
Whittlesea,3754
Whittlesea,3755
Whittlesea,3756
Whittlesea,3757
Wodonga,2640
Wodonga,3688
Wodonga,3690
Wodonga,3691
Wodonga,3694
Wodonga,3749
Wyndham,3012
Wyndham,3018
Wyndham,3020
Wyndham,3024
Wyndham,3025
Wyndham,3026
Wyndham,3027
Wyndham,3028
Wyndham,3029
Wyndham,3030
Wyndham,3211
Wyndham,3212
Wyndham,3338
Wyndham,3340
Yarra,3002
Yarra,3004
Yarra,3053
Yarra,3054
Yarra,3056
Yarra,3057
Yarra,3065
Yarra,3066
Yarra,3067
Yarra,3068
Yarra,3070
Yarra,3078
Yarra,3079
Yarra,3101
Yarra,3102
Yarra,3121
Yarra,3122
Yarra,3141
Yarra,3142
Yarra Ranges,3115
Yarra Ranges,3116
Yarra Ranges,3136
Yarra Ranges,3137
Yarra Ranges,3138
Yarra Ranges,3139
Yarra Ranges,3140
Yarra Ranges,3153
Yarra Ranges,3154
Yarra Ranges,3155
Yarra Ranges,3156
Yarra Ranges,3158
Yarra Ranges,3159
Yarra Ranges,3160
Yarra Ranges,3713
Yarra Ranges,3723
Yarra Ranges,3763
Yarra Ranges,3765
Yarra Ranges,3766
Yarra Ranges,3767
Yarra Ranges,3770
Yarra Ranges,3775
Yarra Ranges,3777
Yarra Ranges,3778
Yarra Ranges,3781
Yarra Ranges,3782
Yarra Ranges,3783
Yarra Ranges,3785
Yarra Ranges,3786
Yarra Ranges,3787
Yarra Ranges,3788
Yarra Ranges,3789
Yarra Ranges,3791
Yarra Ranges,3792
Yarra Ranges,3793
Yarra Ranges,3795
Yarra Ranges,3796
Yarra Ranges,3797
Yarra Ranges,3799
Yarra Ranges,3804
Yarra Ranges,3806
Yarra Ranges,3808
Yarra Ranges,3833
Yarriambiack,3385
Yarriambiack,3387
Yarriambiack,3388
Yarriambiack,3390
Yarriambiack,3391
Yarriambiack,3392
Yarriambiack,3393
Yarriambiack,3395
Yarriambiack,3396
Yarriambiack,3401
Yarriambiack,3414
Yarriambiack,3423
Yarriambiack,3424
Yarriambiack,3480
Yarriambiack,3482
Yarriambiack,3485
Yarriambiack,3490
Yarriambiack,3491
Yarriambiack,3507
Yarriambiack,3531
Yarriambiack,3533
